,Unnamed: 0,Article_ID,Instance_ID,Keyword,Statistics,Statistics Type,Association,Is Child,Is Human,Group Size,Nationality,Side_new,Full_Sent,Conflict_Year,Date,Source
3449,3449,ID_Past Conflicts_CNN_130,Cold Statistics_Prompt_Instance_ID_4869,killed,"At least 1,400 people were killed in that conflict",Number about Deaths,People killed in 2008 Gaza conflict,No,Yes,Many,Palestinian,Palestine,"At least 1,400 people were killed in that conflict.",2012,19 November 2012,CNN
3450,3450,ID_Past Conflicts_CNN_130,Cold Statistics_Prompt_Instance_ID_4870,dead,an Israeli airstrike that left a family of 10 dead within the building's broken concrete and mangled metal,Number about Deaths (Family),Family killed in Israeli airstrike,No,Yes,Many,Palestinian,Palestine,Ban's call for a truce came on the heels of the single deadliest attack -- an Israeli airstrike that left a family of 10 dead within the building's broken concrete and mangled metal.,2012,19 November 2012,CNN
3451,3451,ID_Past Conflicts_CNN_130,Cold Statistics_Prompt_Instance_ID_4872,Hundreds,Hundreds turned out for the funeral,Number about Attendees (Funeral),Funeral attendees for family killed in airstrike,No,Yes,Many,Palestinian,Palestine,"Hundreds turned out for the funeral, where some chanted, ""revenge, revenge.""",2012,19 November 2012,CNN
3452,3452,ID_Past Conflicts_CNN_132,Cold Statistics_Prompt_Instance_ID_4876,97 people have died,97,Number about Deaths,Palestinian civilians in Gaza,No,Yes,Many,Palestinian,Palestine,Palestinian health officials said 97 people have died and 750 have been wounded in Gaza since Israel's offensive -- sparked by months of what Israel characterized as incessant rocket attacks by militants -- began six days ago.,2012,19 November 2012,CNN
3453,3453,ID_Past Conflicts_CNN_132,Cold Statistics_Prompt_Instance_ID_4877,750 have been wounded,750,Number about Injured,Palestinian civilians in Gaza,No,Yes,Many,Palestinian,Palestine,Palestinian health officials said 97 people have died and 750 have been wounded in Gaza since Israel's offensive -- sparked by months of what Israel characterized as incessant rocket attacks by militants -- began six days ago.,2012,19 November 2012,CNN
3454,3454,ID_Past Conflicts_CNN_132,Cold Statistics_Prompt_Instance_ID_4878,three people have died,three,Number about Deaths,Israeli civilians,No,Yes,Many,Israeli,Israel,Israeli officials say three people have died and 68 have been wounded in Israel as the result of rocket fire from Gaza.,2012,19 November 2012,CNN
3455,3455,ID_Past Conflicts_CNN_132,Cold Statistics_Prompt_Instance_ID_4879,68 have been wounded,68,Number about Injured,Israeli civilians,No,Yes,Many,Israeli,Israel,Israeli officials say three people have died and 68 have been wounded in Israel as the result of rocket fire from Gaza.,2012,19 November 2012,CNN
3456,3456,ID_Past Conflicts_CNN_132,Cold Statistics_Prompt_Instance_ID_4880,"At least 1,400 people were killed","1,400",Number about Deaths (Historical Reference: 2008 Gaza War),Palestinian civilians (2008 Gaza War),No,Yes,Many,Palestinian,Palestine,"At least 1,400 people were killed in that conflict.",2012,19 November 2012,CNN
3457,3457,ID_Past Conflicts_CNN_132,Cold Statistics_Prompt_Instance_ID_4881,family of 10 dead,10,Number about Deaths (Family),Palestinian family in Gaza,Yes,Yes,Many,Palestinian,Palestine,Ban's call for a truce came on the heels of the single deadliest attack -- an Israeli airstrike that left a family of 10 dead within the building's broken concrete and mangled metal.,2012,19 November 2012,CNN
3458,3458,ID_Past Conflicts_CNN_132,Cold Statistics_Prompt_Instance_ID_4883,"75,000 reservists","75,000",Number about Troops Mobilized (Potential for Civilian Impact),Israeli reservists,No,Yes,Many,Israeli,Israel,"The Israeli government also has called up 75,000 reservists and massed tens of thousands of troops and tanks near the border of the border of the Palestinian territory.",2012,19 November 2012,CNN
3459,3459,ID_Past Conflicts_CNN_133,Cold Statistics_Prompt_Instance_ID_4884,137 Palestinians have been killed,137,Number about Deaths,Palestinian civilians,No,Yes,Many,Palestinian,Palestine,"The Gaza Ministry of Health said 137 Palestinians have been killed and more than 1,100 injured so far in a week of violence.",2012,20 November 2012,CNN
3460,3460,ID_Past Conflicts_CNN_133,Cold Statistics_Prompt_Instance_ID_4885,"more than 1,100 injured","more than 1,100",Number about Injured,Palestinian civilians,No,Yes,Many,Palestinian,Palestine,"The Gaza Ministry of Health said 137 Palestinians have been killed and more than 1,100 injured so far in a week of violence.",2012,20 November 2012,CNN
3461,3461,ID_Past Conflicts_CNN_133,Cold Statistics_Prompt_Instance_ID_4886,five people have been killed in Israel,five,Number about Deaths,Israeli civilians,No,Yes,Many,Israeli,Israel,"According to Israel's Soroka Hospital, five people have been killed in Israel and more than 70 have been injured.",2012,20 November 2012,CNN
3462,3462,ID_Past Conflicts_CNN_133,Cold Statistics_Prompt_Instance_ID_4887,more than 70 have been injured,more than 70,Number about Injured,Israeli civilians,No,Yes,Many,Israeli,Israel,"According to Israel's Soroka Hospital, five people have been killed in Israel and more than 70 have been injured.",2012,20 November 2012,CNN
3463,3463,ID_Past Conflicts_CNN_134,Cold Statistics_Prompt_Instance_ID_4888,27 people were killed,27,Number about Deaths,Palestinian civilians (including children) killed on Tuesday,Yes,Yes,Many,Palestinian,Palestine,"According to the Gaza Ministry of Health, 27 people were killed Tuesday, including children, and 137 Palestinians have been killed since the latest hostilities erupted.",2012,20 November 2012,CNN
3464,3464,ID_Past Conflicts_CNN_134,Cold Statistics_Prompt_Instance_ID_4889,137 Palestinians have been killed,137,Number about Deaths,Palestinian civilians killed since the latest hostilities erupted,Yes,Yes,Many,Palestinian,Palestine,"According to the Gaza Ministry of Health, 27 people were killed Tuesday, including children, and 137 Palestinians have been killed since the latest hostilities erupted.",2012,20 November 2012,CNN
3465,3465,ID_Past Conflicts_CNN_134,Cold Statistics_Prompt_Instance_ID_4890,"More than 1,100 people were injured","More than 1,100",Number about Injured,Palestinian civilians injured since the latest hostilities erupted,Possible,Yes,Many,Palestinian,Palestine,"More than 1,100 people were injured.",2012,20 November 2012,CNN
3466,3466,ID_Past Conflicts_CNN_134,Cold Statistics_Prompt_Instance_ID_4891,Five people have been killed in Israel,5,Number about Deaths,Israeli civilians killed since the latest hostilities erupted,Possible,Yes,Many,Israeli,Israel,"Five people have been killed in Israel, according to Israel's Soroka Hospital.",2012,20 November 2012,CNN
3467,3467,ID_Past Conflicts_CNN_134,Cold Statistics_Prompt_Instance_ID_4892,More than 70 have been injured,More than 70,Number about Injured,Israeli civilians and soldiers injured since the latest hostilities erupted,Possible,Yes,Many,Israeli,Israel,"More than 70 have been injured, including soldiers, Israeli officials have said.",2012,20 November 2012,CNN
3468,3468,ID_Past Conflicts_CNN_134,Cold Statistics_Prompt_Instance_ID_4893,death toll in Israel moved from three to four,three to four,Open Range about Deaths,Israeli civilians killed,Possible,Yes,Many,Israeli,Israel,"The death toll in Israel moved from three to four early Tuesday when an 18-year-old soldier was killed in a rocket attack in the town of Eshkol, officials said.",2012,20 November 2012,CNN
3469,3469,ID_Past Conflicts_CNN_134,Cold Statistics_Prompt_Instance_ID_4894,climbed from four to five,four to five,Open Range about Deaths,Israeli civilians killed,Possible,Yes,Many,Israeli,Israel,"It climbed from four to five, according to the hospital, when a 30-year-old Bedouin was killed.",2012,20 November 2012,CNN
3470,3470,ID_Past Conflicts_CNN_134,Cold Statistics_Prompt_Instance_ID_4897,"at least 1,400 people died when Israeli troops invaded Gaza after a similar spate of rocket attacks","at least 1,400",Number about Deaths (Historical Reference),Palestinian civilians killed in 2008 conflict,Possible,Yes,Many,Palestinian,Palestine,"Diplomats hope to avoid a repeat of 2008, when at least 1,400 people died when Israeli troops invaded Gaza after a similar spate of rocket attacks.",2012,20 November 2012,CNN
3471,3471,ID_Past Conflicts_CNN_135,Cold Statistics_Prompt_Instance_ID_4898,five people were killed,"five people were killed Tuesday morning, including a child in northern Gaza",Number about Deaths (including children),Palestinian civilians in Gaza (including at least one child),Yes,Yes,Many,Palestinian,Palestine,"The Gaza Ministry of Health said five people were killed Tuesday morning, including a child in northern Gaza.",2012,20 November 2012,CNN
3472,3472,ID_Past Conflicts_CNN_135,Cold Statistics_Prompt_Instance_ID_4899,114 Palestinians have been killed,114 Palestinians have been killed,Number about Deaths,"Palestinian civilians (possibly includes militants, but context suggests civilians)",No,Yes,Many,Palestinian,Palestine,The ministry said 114 Palestinians have been killed and more than 900 injured since the latest hostilities erupted seven days ago.,2012,20 November 2012,CNN
3473,3473,ID_Past Conflicts_CNN_135,Cold Statistics_Prompt_Instance_ID_4900,more than 900 injured,more than 900 injured,Number about Injured,"Palestinian civilians (possibly includes militants, but context suggests civilians)",No,Yes,Many,Palestinian,Palestine,The ministry said 114 Palestinians have been killed and more than 900 injured since the latest hostilities erupted seven days ago.,2012,20 November 2012,CNN
3474,3474,ID_Past Conflicts_CNN_135,Cold Statistics_Prompt_Instance_ID_4901,Three Israelis have been killed,Three Israelis have been killed,Number about Deaths,Israeli civilians,No,Yes,Many,Israeli,Israel,"Three Israelis have been killed and more than 70 have been injured, Israeli officials said.",2012,20 November 2012,CNN
3475,3475,ID_Past Conflicts_CNN_135,Cold Statistics_Prompt_Instance_ID_4902,more than 70 have been injured,more than 70 have been injured,Number about Injured,Israeli civilians (including possibly soldiers),No,Yes,Many,Israeli,Israel,"Three Israelis have been killed and more than 70 have been injured, Israeli officials said.",2012,20 November 2012,CNN
3476,3476,ID_Past Conflicts_CNN_135,Cold Statistics_Prompt_Instance_ID_4903,six alleged collaborators were killed,six alleged collaborators were killed,Number about Deaths (alleged collaborators),Palestinian civilians (alleged collaborators),No,Yes,Many,Palestinian,Palestine,"A local media report said six alleged collaborators were killed, CNN's Anderson Cooper reported from Gaza.",2012,20 November 2012,CNN
3477,3477,ID_Past Conflicts_CNN_135,Cold Statistics_Prompt_Instance_ID_4904,"at least 1,400 people died","at least 1,400 people died","Number about Deaths (historical reference, 2008)","Palestinian civilians (historical, 2008)",No,Yes,Many,Palestinian,Palestine,"Diplomats hope to avoid a repeat of 2008, when at least 1,400 people died when Israeli troops invaded Gaza after a similar spate of rocket attacks.",2012,20 November 2012,CNN
3478,3478,ID_Past Conflicts_CNN_136,Cold Statistics_Prompt_Instance_ID_4905,killed thousands of Arab civilians,thousands,Number about Deaths,Arab civilians,No,Yes,Many,Arab,Palestine,Israel has taken over our lands and killed thousands of Arab civilians over the years.,2012,20 November 2012,CNN
3479,3479,ID_Past Conflicts_CNN_136,Cold Statistics_Prompt_Instance_ID_4906,300 million Arabs,300 million,Number about Victims (potentially affected population),Arabs,No,Yes,Many,Arab,Palestine,Better relations with 300 million Arabs helps secure Israel too.,2012,20 November 2012,CNN
3480,3480,ID_Past Conflicts_CNN_136,Cold Statistics_Prompt_Instance_ID_4907,seven million,seven million,Number about Victims (potentially affected population),Israelis,No,Yes,Many,Israeli,Israel,A tiny nation of seven million cannot be allowed to damage ties between 360 million Americans and 300 million Arabs.,2012,20 November 2012,CNN
3481,3481,ID_Past Conflicts_CNN_137,Cold Statistics_Prompt_Instance_ID_4909,"27 people were killed Tuesday, including children",27,Number about Deaths (including children),Palestinian civilians (including children) killed on Tuesday,Yes,Yes,Many,Palestinian,Palestine,"The Gaza Ministry of Health said 27 people were killed Tuesday, including children.",2012,20 November 2012,CNN
3482,3482,ID_Past Conflicts_CNN_137,Cold Statistics_Prompt_Instance_ID_4910,137 Palestinians have been killed,137,Number about Deaths (Palestinians killed since hostilities erupted),Palestinian civilians (including children and possibly militants) killed since hostilities erupted,Yes,Yes,Many,Palestinian,Palestine,"The ministry said 137 Palestinians have been killed and more than 1,100 injured since the latest hostilities erupted seven days ago.",2012,20 November 2012,CNN
3483,3483,ID_Past Conflicts_CNN_137,Cold Statistics_Prompt_Instance_ID_4911,"more than 1,100 injured","more than 1,100",Number about Injured (Palestinians injured since hostilities erupted),Palestinian civilians (including children and possibly militants) injured since hostilities erupted,Yes,Yes,Many,Palestinian,Palestine,"The ministry said 137 Palestinians have been killed and more than 1,100 injured since the latest hostilities erupted seven days ago.",2012,20 November 2012,CNN
